Gene	cluster
ENSG00000289260	NA
ENSG00000295516	NA
FER	NA
ENSG00000249476	NA
PJA2	NA
ENSG00000299656	NA
MAN2A1-DT	NA
MAN2A1	NA
TMEM232	NA
SLC25A46	NA
TSLP	cluster_11
WDR36	NA
CAMK4	NA
STARD4	cluster_8
STARD4-AS1	NA
NREP	NA
EPB41L4A-AS1	NA
APC	NA
ENSG00000258864	NA
SRP19	NA
REEP5	NA
ENSG00000302916	NA
ENSG00000304959	cluster_11
DCP2	NA
MCC	cluster_13
ENSG00000232633	NA
YTHDC2	NA
KCNN2	cluster_8
ENSG00000300763	NA
TRIM36	cluster_4
PGGT1B	NA
ENSG00000271797	NA
CCDC112	NA
FEM1C	NA
TICAM2	NA
TMED7-TICAM2	NA
TICAM2-AS1	NA
TMED7	NA
CDO1	NA
ATG12	NA
AP3S1	NA
LVRN	NA
ARL14EPL	NA
ENSG00000271918	NA
COMMD10	NA
SEMA6A-AS1	NA
SEMA6A	cluster_8
SEMA6A-AS2	NA
DTWD2	NA
DMXL1-DT	cluster_8
DMXL1	NA
TNFAIP8	NA
HSD17B4	NA
PRR16	NA
ENSG00000248927	NA
SRFBP1	NA
LOX	NA
ENSG00000247311	cluster_4
ZNF474	NA
SNCAIP	cluster_19
ENSG00000294080	NA
SNX2	NA
ENSG00000260686	NA
SNX24	NA
PPIC	NA
PPIC-AS1	NA
PRDM6-AS1	NA
PRDM6	cluster_19
CEP120	NA
ENSG00000288766	NA
CSNK1G3	NA
ENSG00000288890	NA
ZNF608	cluster_13
GRAMD2B	NA
ENSG00000250602	NA
ENSG00000279118	NA
ALDH7A1	NA
PHAX	NA
SPMIP10	NA
LMNB1	cluster_15
MARCHF3	cluster_5
ENSG00000294118	NA
C5orf63	NA
MEGF10	cluster_4
PRRC1	NA
SLC12A2-DT	NA
SLC12A2	NA
FBN2	cluster_19
SLC27A6	cluster_4
ISOC1	NA
ENSG00000286274	NA
ADAMTS19-AS1	cluster_4
ADAMTS19	cluster_4
MINAR2	NA
CHSY3	NA
HINT1	NA
LYRM7	NA
CDC42SE2	NA
ENSG00000299818	NA
RAPGEF6	NA
ENSG00000273217	NA
FNIP1	NA
ENSG00000299814	NA
ENSG00000279584	NA
ENSG00000281938	NA
ACSL6	NA
CSF2	NA
ENSG00000224015	NA
P4HA2	NA
PDLIM4	NA
SLC22A4	cluster_8
MIR3936HG	NA
SLC22A5	NA
CARINH	cluster_11
ENSG00000283782	NA
LINC02863	NA
IRF1	NA
RAD50	NA
IL13	cluster_13
KIF3A	NA
SEPTIN8	NA
SOWAHA	NA
ENSG00000272203	NA
SHROOM1	NA
GDF9	cluster_11
UQCRQ	NA
LEAP2	NA
AFF4	NA
ZCCHC10	NA
ENSG00000287054	NA
ENSG00000286408	NA
HSPA4	NA
ENSG00000248245	cluster_4
FSTL4	NA
C5orf15	NA
ENSG00000309135	NA
VDAC1	NA
ENSG00000271737	NA
TCF7	NA
ENSG00000307917	NA
SKP1	NA
ENSG00000272772	NA
PPP2CA	NA
ENSG00000273345	NA
PPP2CA-DT	NA
CDKL3	NA
ENSG00000293902	NA
UBE2B	NA
ENSG00000248559	NA
CDKN2AIPNL	NA
ENSG00000299601	NA
ENSG00000250994	NA
ENSG00000280420	NA
JADE2	NA
SAR1B	NA
SEC24A	NA
CAMLG	NA
DDX46	NA
C5orf24	NA
TXNDC15	NA
PCBD2	NA
ENSG00000279799	NA
ENSG00000295438	NA
CATSPER3	NA
PITX1	NA
PITX1-AS1	NA
ENSG00000277619	NA
ENSG00000301931	NA
MACROH2A1	NA
ENSG00000270021	NA
SLC25A48	NA
CXCL14	cluster_4
ENSG00000293402	NA
ENSG00000295057	NA
TGFBI	cluster_13
VTRNA2-1	cluster_13
SMAD5-AS1	NA
SMAD5	NA
SMIM32	NA
TRPC7-AS1	NA
SPOCK1	NA
KLHL3	NA
HNRNPA0	NA
ENSG00000295236	NA
PKD2L2-DT	NA
MYOT	NA
FAM13B	NA
NME5	NA
BRD8	NA
KIF20A	cluster_15
CDC23	NA
CDC25C	cluster_15
FAM53C	NA
KDM3B	NA
REEP2	NA
EGR1	cluster_11
ETF1	NA
ENSG00000289155	NA
HSPA9	NA
CTNNA1	NA
LRRTM2	NA
SIL1	NA
SNHG4	cluster_8
PAIP2	NA
SLC23A1	NA
PROB1	NA
SPATA24	NA
DNAJC18	NA
ENSG00000279686	NA
ECSCR	NA
STING1	NA
UBE2D2	NA
CXXC5-AS1	NA
CXXC5	NA
ENSG00000249526	NA
PSD2	NA
NRG2	NA
MALINC1	NA
PURA	NA
IGIP	NA
ENSG00000254363	NA
CYSTM1	NA
PFDN1	NA
HBEGF	NA
ANKHD1-DT	NA
ANKHD1	NA
ANKHD1-EIF4EBP3	NA
SRA1	NA
EIF4EBP3	NA
APBB3	NA
ENSG00000283155	NA
ENSG00000293600	NA
SLC35A4	NA
ENSG00000293441	NA
CD14	cluster_11
NDUFA2	NA
TMCO6	NA
IK	NA
WDR55	NA
DND1	NA
HARS1	NA
HARS2	NA
ZMAT2	NA
VTRNA1-2	NA
VTRNA1-3	NA
ENSG00000279726	NA
PCDHA1	cluster_4
PCDHA2	cluster_4
PCDHA3	cluster_4
PCDHA4	cluster_4
PCDHA5	cluster_4
PCDHA6	cluster_4
PCDHA7	cluster_4
PCDHA8	cluster_4
PCDHA9	cluster_4
PCDHA10	cluster_4
PCDHA11	cluster_4
PCDHA12	cluster_4
PCDHA13	cluster_4
PCDHAC1	cluster_4
PCDHAC2	cluster_4
PCDHB2	NA
PCDHB3	NA
ENSG00000272108	NA
PCDHB4	NA
PCDHB5	NA
PCDHB6	NA
ENSG00000290893	NA
PCDHB7	NA
PCDHB8	NA
PCDHB16	NA
ENSG00000279068	NA
PCDHB9	NA
PCDHB10	NA
PCDHB11	cluster_19
PCDHB12	cluster_13
PCDHB13	NA
PCDHB14	NA
ENSG00000279983	NA
PCDHB18P	cluster_19
ENSG00000290895	NA
PCDHB15	cluster_19
TAF7	NA
ENSG00000288095	NA
PCDHGA1	NA
PCDHGA2	NA
PCDHGA3	NA
PCDHGB1	NA
PCDHGA4	NA
PCDHGB2	NA
PCDHGA5	NA
PCDHGB3	NA
PCDHGA6	NA
PCDHGA7	NA
PCDHGB4	NA
PCDHGA8	NA
PCDHGB5	NA
PCDHGA9	NA
PCDHGB6	NA
PCDHGA10	NA
PCDHGB7	NA
PCDHGA11	NA
PCDHGB8P	NA
PCDHGA12	NA
ENSG00000273557	NA
PCDHGC3	NA
PCDHGC4	NA
PCDHGC5	NA
ENSG00000301000	NA
DIAPH1	NA
HDAC3	NA
RELL2	NA
FCHSD1	NA
ARAP3	NA
PCDH1	cluster_4
ENSG00000306969	cluster_4
DELE1	NA
PCDH12	NA
ENSG00000271871	NA
RNF14	NA
GNPDA1	NA
NDFIP1	NA
ENSG00000289306	NA
ENSG00000280047	NA
SPRY4	NA
SPRY4-AS1	NA
FGF1	cluster_8
ARHGAP26	cluster_4
ENSG00000294596	NA
NR3C1	NA
ENSG00000251205	NA
YIPF5	NA
KCTD16	NA
ENSG00000251031	NA
PRELID2	NA
SH3RF2	cluster_8
PLAC8L1	NA
LARS1	NA
ENSG00000275740	NA
RBM27	NA
POU4F3	cluster_4
TCERG1	NA
STK32A	NA
DPYSL3	cluster_19
JAKMIP2	cluster_19
FBXO38-DT	NA
ENSG00000308790	NA
FBXO38	NA
ENSG00000303969	NA
ADRB2	cluster_8
ENSG00000303982	NA
SH3TC2	cluster_8
SH3TC2-DT	NA
ABLIM3	NA
AFAP1L1	NA
GRPEL2	NA
PCYOX1L	NA
ENSG00000253865	NA
CARMN	cluster_19
CSNK1A1	NA
ENSG00000230551	NA
ENSG00000297142	NA
ARHGEF37	cluster_4
PPARGC1B	cluster_4
PDE6A	NA
SLC26A2	NA
TIGD6	NA
HMGXB3	NA
CSF1R	NA
PDGFRB	NA
CDX1	cluster_13
CAMK2A	cluster_13
ARSI	cluster_19
TCOF1	NA
CD74	NA
RPS14	NA
ENSG00000295975	NA
NDST1-AS1	NA
NDST1	NA
ENSG00000309750	NA
SYNPO	NA
MYOZ3	cluster_11
MYOZ3-AS1	NA
RBM22	NA
DCTN4	NA
SMIM3	NA
ZNF300	cluster_19
ENSG00000291115	NA
GPX3	NA
TNIP1	NA
ANXA6	NA
CCDC69	NA
GM2A	NA
SLC36A1	NA
ENSG00000299955	NA
FAT2	NA
ENSG00000271795	NA
SPARC	NA
CLMAT3	NA
ENSG00000272112	NA
ATOX1	NA
ENSG00000275765	NA
G3BP1	NA
LINC01933	NA
GRIA1	cluster_19
FAM114A2	NA
MFAP3	NA
GALNT10	NA
SAP30L-AS1	NA
ENSG00000287695	NA
SAP30L	NA
LARP1	NA
FAXDC2	cluster_13
CNOT8	NA
ENSG00000309402	NA
GEMIN5	NA
MRPL22	NA
KIF4B	NA
SGCD	cluster_19
ENSG00000308227	NA
ENSG00000293586	NA
PPP1R2B	NA
HAVCR2	NA
MED7	NA
ITK	cluster_4
CYFIP2	NA
ENSG00000285868	NA
NIPAL4-DT	NA
ENSG00000248544	NA
ADAM19	NA
NIPAL4	NA
ENSG00000253519	NA
SOX30	NA
THG1L	NA
LSM11	NA
CLINT1	NA
EBF1	NA
LINC02202	NA
ENSG00000279204	NA
RNF145	NA
LINC01932	NA
ENSG00000288764	NA
UBLCP1	NA
ENSG00000249738	NA
IL12B	NA
ENSG00000283413	cluster_8
ADRA1B	NA
ENSG00000306315	NA
TTC1	NA
PWWP2A	NA
CCNJL	NA
C1QTNF2	cluster_5
FAM200C	NA
SLU7	NA
PTTG1	cluster_15
GABRG2	NA
ENSG00000254186	NA
CCNG1	NA
NUDCD2	NA
HMMR	cluster_15
MAT2B	NA
TENM2	cluster_4
WWC1	cluster_15
RARS1	NA
FBLL1	NA
PANK3	NA
SLIT3	cluster_4
SPDL1	NA
DOCK2	NA
INSYN2B	NA
RANBP17	NA
NPM1	NA
FGF18	NA
FBXW11	NA
ENSG00000288799	NA
STK10	NA
UBTD2	NA
SH3PXD2B	NA
NEURL1B	cluster_15
ENSG00000295914	NA
ENSG00000253736	NA
DUSP1	cluster_19
ENSG00000290019	NA
ENSG00000253628	cluster_8
ERGIC1	NA
RPL26L1-AS1	NA
ENSG00000254295	NA
RPL26L1	NA
ATP6V0E1	NA
CREBRF	NA
BNIP1	NA
ENSG00000309012	NA
ENSG00000309031	NA
STC2	NA
ENSG00000253968	NA
ENSG00000253141	NA
ENSG00000253768	NA
LINC02995	NA
BOD1	NA
CPEB4	NA
NSG2	NA
MSX2	NA
ENSG00000306776	NA
DRD1	cluster_4
SFXN1	NA
THOC3	NA
ENSG00000289731	NA
ENSG00000283235	NA
ENSG00000290935	NA
ENSG00000248596	NA
ENSG00000287579	NA
SIMC1	NA
KIAA1191	NA
ARL10	NA
NOP16	NA
HIGD2A	NA
CLTB	NA
FAF2	NA
RNF44	NA
CDHR2	NA
GPRIN1	NA
SNCB	NA
TSPAN17	NA
UNC5A	cluster_4
UIMC1	NA
ZNF346	NA
ZNF346-IT1	NA
FGFR4	cluster_13
NSD1	NA
ENSG00000286634	NA
RAB24	NA
MXD3	NA
PRELID1	NA
LMAN2	NA
RGS14	cluster_13
F12	NA
GRK6	NA
PRR7-AS1	cluster_13
PRR7	NA
DBN1	NA
ENSG00000279821	NA
PDLIM7	NA
PDLIM7-AS1	NA
DOK3	NA
DDX41	NA
FAM193B	NA
FAM193B-DT	NA
TMED9	NA
B4GALT7	NA
ENSG00000247679	NA
ENSG00000291283	NA
ENSG00000290968	NA
ENSG00000291113	NA
FAM153CP	NA
N4BP3	NA
RMND5B	NA
NHP2	NA
ENSG00000289726	NA
ENSG00000289390	NA
HNRNPAB	NA
PHYKPL	NA
COL23A1	NA
CLK4	NA
MSANTD5	NA
ENSG00000285978	NA
ZNF354A	NA
ZNF354B	NA
ZFP2	NA
ZNF454-DT	NA
ZNF454	NA
ENSG00000254035	NA
ZNF879	NA
ZNF354C	NA
ADAMTS2	NA
ENSG00000253163	NA
ENSG00000290043	NA
RUFY1	NA
RUFY1-AS1	NA
HNRNPH1	NA
ENSG00000304201	NA
ENSG00000250999	NA
ENSG00000304231	NA
CANX	NA
ENSG00000293215	NA
MAML1	NA
LTC4S	NA
MGAT4B	NA
SQSTM1	NA
ENSG00000301422	NA
MRNIP	NA
MRNIP-DT	NA
TBC1D9B	NA
RNF130	NA
MAPK9	NA
ENSG00000248367	NA
GFPT2	NA
CNOT6	NA
FLT4	cluster_4
MGAT1	NA
ENSG00000296385	NA
ENSG00000280161	NA
HEIH	NA
LINC00847	NA
ZFP62	NA
TRIM7-AS2	NA
TRIM7	NA
ENSG00000286644	cluster_13
TRIM41	NA
RACK1	NA
TRIM52-AS1	NA
TRIM52	NA
ENSG00000286310	NA
ENSG00000238035	NA
ENSG00000287265	NA
DUSP22	NA
IRF4	cluster_4
EXOC2	NA
HUS1B	NA
ENSG00000271727	NA
ENSG00000272463	NA
LINC01622	NA
ENSG00000289842	NA
ENSG00000303904	NA
FOXQ1	NA
LINC01394	NA
FOXF2-DT	NA
FOXF2	NA
ENSG00000272279	NA
ENSG00000305114	NA
ENSG00000295230	NA
ENSG00000309470	NA
FOXC1	NA
ENSG00000297192	cluster_11
GMDS	NA
GMDS-DT	NA
LINC01600	NA
MYLK4	NA
ENSG00000305642	NA
WRNIP1	NA
SERPINB1	NA
ENSG00000302483	NA
SERPINB9P1	NA
SERPINB9	cluster_11
SERPINB6	NA
LINC01011	NA
NQO2	NA
ENSG00000288612	NA
RIPK1	NA
ENSG00000272277	NA
ENSG00000307289	NA
BPHL	NA
TUBB2A	cluster_8
ENSG00000309627	NA
TUBB2B	cluster_19
PSMG4	NA
SLC22A23	cluster_8
ENSG00000272320	NA
ENSG00000298336	NA
ENSG00000228793	NA
PXDC1	NA
ENSG00000270504	NA
ENSG00000301665	NA
FAM50B	NA
ENSG00000260604	cluster_4
ENSG00000230648	NA
PRP4K	NA
FAM217A	NA
ECI2	NA
ECI2-DT	NA
ENSG00000284823	cluster_8
ENSG00000231811	cluster_8
ENSG00000307681	NA
CDYL	NA
RPP40	NA
LYRM4-AS1	NA
ENSG00000271978	NA
ENSG00000288548	NA
PPP1R3G	NA
LYRM4	NA
FARS2	NA
NRN1	NA
ENSG00000287497	NA
RREB1	NA
ENSG00000225092	NA
SSR1	NA
CAGE1	NA
RIOK1	NA
DSP-AS1	NA
DSP	cluster_4
SNRNP48	NA
ENSG00000300668	NA
ENSG00000300630	NA
BMP6	cluster_11
TXNDC5	NA
BLOC1S5-TXNDC5	NA
BLOC1S5	NA
EEF1E1-BLOC1S5	NA
EEF1E1	NA
SLC35B3	NA
HULC	NA
TFAP2A	cluster_8
TFAP2A-AS2	NA
TFAP2A-AS1	NA
ENSG00000296848	NA
GCNT2	cluster_4
ENSG00000285763	NA
C6orf52	NA
PAK1IP1	NA
TMEM14C	NA
TMEM14B	NA
ENSG00000272162	NA
MAK	NA
SYCP2L	cluster_13
ELOVL2	cluster_19
ELOVL2-AS1	NA
SMIM13	NA
ENSG00000293642	NA
NEDD9	cluster_13
ENSG00000287920	NA
TMEM170B	NA
ENSG00000271897	cluster_8
ADTRP	cluster_4
ENSG00000287593	cluster_8
HIVEP1	NA
EDN1	cluster_8
ENSG00000294347	NA
PHACTR1	NA
ENSG00000215022	NA
TBC1D7	NA
ENSG00000272379	NA
GFOD1	NA
ENSG00000300133	NA
SIRT5	NA
ENSG00000261071	NA
NOL7	NA
RANBP9	NA
MCUR1	NA
ENSG00000272209	NA
RNF182	NA
CD83	NA
JARID2-DT	NA
JARID2	NA
DTNBP1	NA
ENSG00000287626	NA
ENSG00000304921	NA
MYLIP	cluster_11
GMPR	NA
ATXN1	NA
ENSG00000288708	NA
ATXN1-AS1	NA
STMND1	cluster_4
ENSG00000287559	NA
RBM24	NA
CAP2	cluster_8
ENSG00000286885	NA
FAM8A1	NA
NUP153	NA
NUP153-AS1	NA
KIF13A	NA
NHLRC1	NA
TPMT	cluster_15
KDM1B	NA
DEK	cluster_15
RNF144B	NA
LNC-LBCS	NA
ID4	cluster_8
MBOAT1	cluster_19
ENSG00000289981	NA
E2F3	NA
CDKAL1	NA
LINC00581	NA
SOX4	cluster_13
CASC15	cluster_13
NBAT1	cluster_13
ENSG00000286954	NA
DCDC2	NA
MRS2	NA
GPLD1	NA
ALDH5A1	cluster_4
KIAA0319	cluster_8
TDP2	NA
ACOT13	NA
ENSG00000272345	NA
C6orf62	NA
ENSG00000288851	NA
GMNN	cluster_15
ENSG00000307138	NA
ENSG00000282804	NA
RIPOR2	cluster_19
ENSG00000288887	NA
CMAHP	NA
CARMIL1	NA
SLC17A2	NA
TRIM38	NA
LINC02980	NA
ENSG00000272810	cluster_11
H3C1	NA
H1-2	cluster_4
H2BC4	cluster_4
HFE	NA
H1-6	NA
ENSG00000291336	NA
H2AC6	NA
H1-4	cluster_4
ENSG00000291338	NA
ENSG00000289117	NA
H2BC5	NA
H2BC6-AS1	NA
H2BC6	NA
H4C4	NA
H3C4	cluster_8
ENSG00000301014	NA
ENSG00000282988	cluster_4
H2AC7	NA
H2BC7	NA
H4C5	NA
H2BC8	cluster_4
H2AC8	NA
H3C6	NA
H1-3	NA
H2BC9	NA
ENSG00000305798	NA
H4C8	cluster_4
ENSG00000287050	cluster_11
BTN3A2	cluster_19
BTN2A2	NA
BTN3A1	cluster_13
BTN2A3P	NA
BTN3A3	NA
BTN2A1	NA
HCG11	cluster_4
HMGN4	NA
ABT1	NA
ZNF322	NA
ENSG00000285571	NA
ENSG00000290474	NA
LINC00240	NA
LARRPM	NA
H2BC11	NA
H2AC11	NA
H2BC12	NA
H4C9	NA
H2AC12	NA
ENSG00000301163	NA
ENSG00000297504	NA
PRSS16	NA
POM121L2	cluster_8
ENSG00000291112	NA
ZNF391	NA
ENSG00000271755	NA
ZNF184	NA
ENSG00000286652	NA
LINC01012	NA
ENSG00000287252	NA
H2BC13	NA
H2AC13	cluster_8
H3C10	cluster_4
ENSG00000296368	NA
H4C12	NA
H2AC15	NA
H2BC15	NA
H2AC16	NA
H3C12	NA
H2AC17	NA
H2BC17	NA
OR2B6	NA
ZSCAN16-AS1	NA
ZNF165	NA
ENSG00000291008	cluster_19
ZSCAN16	NA
ENSG00000261839	NA
ZKSCAN8	NA
ZKSCAN8P1	NA
ENSG00000280107	NA
ZSCAN9	NA
ZKSCAN4	NA
NKAPL	NA
ZSCAN26	NA
ENSG00000276302	NA
PGBD1	NA
ENSG00000294464	NA
ZSCAN31	NA
ENSG00000290051	cluster_4
ZKSCAN3	NA
ENSG00000294493	NA
ZSCAN12	NA
ZSCAN23	cluster_13
SCAND3	cluster_8
TRIM27	NA
HCG15	NA
ZNF311	NA
GABBR1	NA
ENSG00000301820	NA
HLA-F-AS1	NA
HLA-F	NA
HLA-G	NA
POLR1HASP	NA
HLA-H	NA
ENSG00000310496	NA
HLA-A	NA
ENSG00000290574	NA
POLR1H	cluster_19
PPP1R11	NA
TRIM26	NA
HCG18	NA
HLA-L	NA
ENSG00000280128	NA
TRIM39	NA
TRIM39-RPP21	NA
RPP21	NA
ENSG00000288805	NA
HLA-E	NA
LINC02569	NA
GNL1	NA
ENSG00000308190	NA
PRR3	NA
ENSG00000290047	NA
ABCF1	NA
PPP1R10	NA
MRPS18B	NA
ATAT1	NA
C6orf136	NA
DHX16	NA
PPP1R18	NA
NRM	NA
MDC1	NA
TUBB	cluster_15
ENSG00000272540	NA
FLOT1	NA
IER3-AS1	NA
IER3	NA
HCG20	NA
LINC00243	NA
DDR1	NA
GTF2H4	NA
ENSG00000288473	NA
VARS2	NA
PSORS1C1	NA
CCHCR1	NA
TCF19	cluster_15
POU5F1	NA
PSORS1C3	NA
ENSG00000272501	NA
HCG27	NA
ENSG00000298460	NA
HLA-C	NA
ENSG00000298396	NA
ENSG00000288813	NA
HLA-B	cluster_11
ENSG00000298426	NA
ENSG00000285647	NA
MICA-AS1	NA
MICA	cluster_8
ENSG00000288587	NA
LINC01149	NA
HCP5	NA
MICB-DT	NA
MICB	cluster_8
DDX39B	NA
ATP6V1G2-DDX39B	NA
ATP6V1G2	NA
NFKBIL1	NA
LTA	NA
TNF	cluster_11
LST1	NA
NCR3	NA
ENSG00000289375	NA
PRRC2A	NA
ENSG00000291302	NA
ENSG00000289282	NA
BAG6	NA
APOM	NA
C6orf47	NA
GPANK1	NA
CSNK2B	NA
ENSG00000263020	NA
LY6G5B	NA
LY6G5C	NA
ABHD16A	NA
ENSG00000204422	NA
MPIG6B	NA
LY6G6C	cluster_11
DDAH2	NA
CLIC1	cluster_5
MSH5	NA
MSH5-SAPCD1	NA
SAPCD1	NA
SAPCD1-AS1	NA
VWA7	NA
VARS1	NA
LSM2	NA
HSPA1L	NA
HSPA1A	NA
ENSG00000289637	cluster_11
SNHG32	NA
ENSG00000289829	NA
HSPA1B	NA
NEU1	NA
SLC44A4	NA
EHMT2	NA
C2	cluster_13
ZBTB12	NA
ENSG00000244255	cluster_13
C2-AS1	NA
CFB	cluster_13
NELFE	NA
SKIC2	NA
DXO	NA
STK19	NA
C4A	cluster_13
ENSG00000290788	NA
ENSG00000308228	NA
C4B	cluster_13
CYP21A2	NA
TNXB	cluster_13
ENSG00000284829	NA
ATF6B	NA
FKBPL	NA
PRRT1	NA
ENSG00000285085	NA
ENSG00000284954	NA
PPT2	NA
PPT2-EGFL8	NA
EGFL8	NA
AGPAT1	NA
RNF5	NA
AGER	NA
ENSG00000273333	NA
PBX2	NA
ENSG00000305139	NA
GPSM3	NA
NOTCH4	NA
TSBP1-AS1	cluster_11
HLA-DOB	NA
ENSG00000250264	NA
TAP2	NA
PSMB8	NA
PSMB8-AS1	NA
PSMB9	cluster_19
TAP1	NA
ENSG00000289559	NA
ENSG00000289047	NA
HLA-DMB	NA
ENSG00000248993	NA
HLA-DMA	NA
BRD2	NA
ENSG00000223837	NA
HLA-DPB1	NA
COL11A2	cluster_11
RXRB	NA
SLC39A7	NA
HSD17B8	NA
ENSG00000288751	NA
RING1	NA
ENSG00000272217	NA
HCG25	NA
VPS52	NA
RPS18	NA
B3GALT4	cluster_11
WDR46	NA
PFDN6	NA
RGL2	NA
ENSG00000289100	NA
TAPBP	NA
ZBTB22	NA
DAXX	NA
ENSG00000285064	NA
KIFC1	cluster_15
PHF1	NA
CUTA	NA
SYNGAP1	NA
SYNGAP1-AS1	NA
ZBTB9	NA
ENSG00000296370	NA
BAK1	NA
ITPR3	cluster_15
ITPR3-AS1	NA
UQCC2	NA
IP6K3	cluster_13
LEMD2	NA
ENSG00000287089	NA
GRM4	cluster_4
ENSG00000307009	NA
HMGA1	cluster_5
ENSG00000295821	NA
SMIM29	NA
ENSG00000225339	cluster_8
NUDT3	NA
RPS10-NUDT3	NA
RPS10	NA
PACSIN1	NA
SPDEF	cluster_11
ILRUN	NA
ENSG00000299697	NA
ILRUN-AS1	NA
SNRPC	NA
BLTP3A	NA
TAF11	NA
ANKS1A	NA
TCP11	NA
ENSG00000305352	NA
ENSG00000305375	NA
SCUBE3	NA
SCUBE3-AS1	NA
ZNF76	NA
DEF6	cluster_4
PPARD	NA
ENSG00000297349	NA
FANCE	NA
RPL10A	NA
ENSG00000304435	NA
TEAD3	NA
ENSG00000228559	NA
FKBP5	cluster_15
ENSG00000299402	NA
ARMC12	NA
SRPK1	NA
SLC26A8	NA
MAPK14	NA
BRPF3-AS1	cluster_11
MAPK13	NA
BRPF3	NA
PNPLA1	NA
BNIP5	NA
ETV7	NA
PXT1	NA
KCTD20	NA
STK38	NA
SRSF3	NA
CDKN1A	cluster_4
RAB44	cluster_4
CPNE5	NA
PPIL1	NA
C6orf89	NA
PI16	cluster_13
MTCH1	NA
PIM1	cluster_13
TMEM217	NA
TMEM217B	cluster_4
TBC1D22B	NA
RNF8	NA
CMTR1	NA
CCDC167	NA
MDGA1	cluster_8
ZFAND3-DT	NA
ZFAND3	NA
BTBD9	NA
ENSG00000298390	NA
GLO1	NA
DNAH8	cluster_4
SAYSD1	NA
KCNK5	NA
KIF6	NA
DAAM2	NA
ENSG00000281969	NA
DAAM2-AS1	NA
MOCS1	NA
TDRG1	NA
UNC5CL	NA
OARD1	NA
NFYA	NA
ADCY10P1	NA
ENSG00000290034	NA
TREM2	NA
ENSG00000290563	NA
TREM1	cluster_8
FOXP4	NA
MDFI	NA
TFEB	NA
FRS3	cluster_13
ENSG00000124593	NA
PRICKLE4	NA
TOMM6	NA
USP49	NA
ENSG00000288721	NA
MED20	NA
BYSL	cluster_8
CCND3	NA
TAF8	NA
C6orf132	NA
GUCA1ANB-GUCA1A	NA
GUCA1A	cluster_19
GUCA1B	NA
ENSG00000289216	NA
MRPS10	NA
TRERF1	NA
ENSG00000293992	NA
UBR2	NA
ENSG00000308061	NA
PRPH2	cluster_19
ENSG00000299695	NA
TBCC	NA
BICRAL	NA
RPL7L1	NA
C6orf226	NA
ENSG00000287825	NA
CNPY3	NA
LINC02976	NA
GNMT	NA
PEX6	NA
ENSG00000290049	NA
PPP2R5D	NA
MEA1	NA
KLHDC3	NA
RRP36	NA
ENSG00000272223	NA
CUL7	NA
KLC4	NA
ENSG00000288564	NA
MRPL2	NA
KLC4-AS1	NA
PTK7	NA
ENSG00000307823	NA
SRF	NA
CUL9	NA
DNPH1	NA
TTBK1	NA
CRIP3	NA
ZNF318	NA
ABCC10	NA
DLK2	NA
TJAP1	NA
LRRC73	NA
POLR1C	NA
YIPF3	NA
ENSG00000271754	NA
XPO5	NA
POLH	NA
GTPBP2	NA
MAD2L1BP	NA
RSPH9	NA
MRPS18A	NA
VEGFA	NA
ENSG00000272114	NA
SCIRT	NA
ENSG00000289609	NA
ENSG00000287562	NA
MRPL14	NA
TMEM63B	NA
CAPN11	NA
SLC29A1	NA
HSP90AB1	NA
SLC35B2	NA
NFKBIE	NA
TMEM151B	NA
TCTE1	NA
AARS2	NA
CDC5L	NA
SUPT3H	NA
RUNX2	NA
ENSG00000309252	NA
ENSG00000271857	NA
ENPP4	cluster_4
ENPP5	NA
RCAN2	NA
CYP39A1	NA
SLC25A27	NA
TDRD6	cluster_4
TNFRSF21	NA
CD2AP-DT	NA
CD2AP	NA
ADGRF4	NA
PTCHD4	cluster_4
ENSG00000286811	NA
MMUT	NA
CENPQ	NA
MCM3	cluster_15
ENSG00000295329	NA
PAQR8	NA
EFHC1	NA
TRAM2	NA
TRAM2-AS1	NA
ENSG00000291006	NA
TMEM14A	NA
GSTA1	NA
GSTA4	NA
CILK1	NA
ENSG00000288614	NA
FBXO9	NA
ENSG00000288646	NA
GCM1	NA
ELOVL5	NA
ENSG00000296306	cluster_13
GCLC-AS1	NA
GCLC	cluster_11
KLHL31	cluster_13
ENSG00000227885	cluster_13
LRRC1	NA
MLIP	NA
ENSG00000299445	NA
FAM83B	NA
ENSG00000261116	NA
HCRTR2	NA
HMGCLL1	cluster_11
BMP5	cluster_11
COL21A1	cluster_11
ENSG00000309441	NA
DST	NA
DST-AS1	NA
BEND6	NA
KIAA1586	NA
ZNF451	NA
ZNF451-AS1	NA
BAG2	NA
ENSG00000307695	NA
RAB23	NA
PRIM2	NA
ENSG00000306225	NA
LINC00680	NA
ENSG00000271761	NA
ENSG00000225096	cluster_19
ENSG00000290597	NA
FKBP1C	NA
LGSN	NA
ENSG00000289911	NA
PTP4A1	NA
ENSG00000266680	NA
ENSG00000285976	NA
PHF3	NA
EYS	NA
SCAT8	cluster_4
ZC3H11C	NA
LMBRD1	NA
COL19A1	cluster_4
COL9A1	cluster_11
FAM135A	cluster_13
SDHAF4	NA
ENSG00000271967	NA
SMAP1	NA
B3GAT2	NA
LINC00472	NA
OGFRL1	cluster_8
ENSG00000279289	NA
LINC01626	NA
RIMS1	cluster_4
KCNQ5-DT	NA
